Month,Turnover
1982-Apr,1162.6
1982-May,1150.9
1982-Jun,1160
1982-Jul,1206.4
1982-Aug,1152.5
1982-Sep,1189.1
1982-Oct,1247.4
1982-Nov,1280.7
1982-Dec,1483.7
1983-Jan,1202.8
1983-Feb,1224.2
1983-Mar,1332.4
1983-Apr,1270.9
1983-May,1251.7
1983-Jun,1269.3
1983-Jul,1292.8
1983-Aug,1337
1983-Sep,1322.8
1983-Oct,1355.4
1983-Nov,1410.9
1983-Dec,1642.3
1984-Jan,1314.5
1984-Feb,1335.4
1984-Mar,1388.8
1984-Apr,1346.5
1984-May,1404.3
1984-Jun,1367.6
1984-Jul,1361.6
1984-Aug,1436.7
1984-Sep,1355.6
1984-Oct,1462.7
1984-Nov,1501.4
1984-Dec,1686.6
1985-Jan,1484.7
1985-Feb,1397
1985-Mar,1495
1985-Apr,1474.9
1985-May,1556.8
1985-Jun,1453.7
1985-Jul,1558.6
1985-Aug,1585.7
1985-Sep,1518
1985-Oct,1655.7
1985-Nov,1667.3
1985-Dec,1867.3
1986-Jan,1674.4
1986-Feb,1558.5
1986-Mar,1676.6
1986-Apr,1643.7
1986-May,1746.5
1986-Jun,1638.5
1986-Jul,1721.8
1986-Aug,1720.9
1986-Sep,1705.7
1986-Oct,1816.4
1986-Nov,1774.7
1986-Dec,2073.6
1987-Jan,1830.7
1987-Feb,1710.1
1987-Mar,1791
1987-Apr,1824.4
1987-May,1823.3
1987-Jun,1761.9
1987-Jul,1856.9
1987-Aug,1821
1987-Sep,1830
1987-Oct,1942.4
1987-Nov,1885.9
1987-Dec,2272.4
1988-Jan,1885.1
1988-Feb,1845.2
1988-Mar,2021.6
1988-Apr,1937.5
1988-May,1907
1988-Jun,1925.7
1988-Jul,1932.6
1988-Aug,1977.6
1988-Sep,2035.2
1988-Oct,2050.7
1988-Nov,2109.5
1988-Dec,2549.7
1989-Jan,2056.1
1989-Feb,1990.2
1989-Mar,2261.2
1989-Apr,2104.6
1989-May,2139
1989-Jun,2170.3
1989-Jul,2163.1
1989-Aug,2255.1
1989-Sep,2262.6
1989-Oct,2221.7
1989-Nov,2327.5
1989-Dec,2788.4
1990-Jan,2277.4
1990-Feb,2185.3
1990-Mar,2439.5
1990-Apr,2286
1990-May,2382.9
1990-Jun,2361.9
1990-Jul,2302.9
1990-Aug,2469
1990-Sep,2307.8
1990-Oct,2442.4
1990-Nov,2553.4
1990-Dec,2887.2
1991-Jan,2551.9
1991-Feb,2341.5
